fid,latitude,longitude,LONGTITUDE
"213",40.70818,-73.92202,
"214",40.70498,-73.92868,
"215",40.68909,-73.9173,
"216",40.69048,-73.92193,
"217",40.69493,-73.94161,
"218",40.68385,-73.92349,
"219",40.68135,-73.9046,
"220",40.69168,-73.932,
"221",40.70714,-73.9216,
"222",40.6889,-73.92469,
"223",40.68864,-73.94166,
"224",40.68305,-73.9419,
"225",40.68413,-73.92693,
"226",40.70343,-73.91343,
"227",40.70565,-73.92254,
"228",40.70505,-73.92281,
"229",40.70561,-73.92515,
"230",40.67963,-73.9375,
"231",40.68626,-73.91324,
"232",40.69484,-73.9342,
"233",40.70022,-73.91441,
"234",40.69937,-73.91463,
"235",40.70618,-73.91669,
"236",40.70493,-73.90795,
"237",40.69641,-73.90994,
"238",40.68673,-73.91024,
"239",40.70781,-73.92184,
"240",40.68671,-73.93346,
"241",40.70371,-73.93344,
"242",40.6922,-73.92399,
"243",40.68637,-73.9417,
"244",40.7018,-73.91823,
"245",40.68171,-73.92085,
"246",40.69142,-73.93481,
"247",40.70716,-73.89906,
"248",40.69067,-73.92207,
"249",40.70381,-73.92766,
"250",40.69472,-73.92874,
"251",40.69193,-73.9274,
"252",40.69636,-73.91138,
"253",40.70177,-73.91922,
"254",40.69312,-73.90582,
"255",40.67927,-73.9113,
"256",40.68342,-73.91017,
"257",40.68478,-73.92971,
"258",40.69346,-73.90765,
"259",40.6966,-73.93072,
"260",40.68232,-73.92746,
"261",40.70014,-73.92705,
"262",40.70751,-73.92058,
"263",40.68926,-73.91595,
"264",40.70218,-73.91005,
"265",40.69972,-73.92244,
"266",40.69587,-73.94037,
"267",40.68631,-73.93993,
"268",40.70039,-73.92867,
"269",40.70147,-73.92005,
"270",40.70054,-73.92374,
"271",40.70422,-73.91405,
"272",40.69982,-73.9249,
"273",40.70544,-73.92192,
"274",40.70206,-73.90936,
"275",40.69856,-73.93162,
"276",40.70874,-73.93818,
"277",40.68172,-73.93236,
"278",40.70375,-73.9094,
"279",40.68843,-73.93678,
"280",40.70054,-73.92954,
"281",40.6998,-73.92913,
"282",40.68642,-73.9344,
"283",40.6911,-73.92125,
"284",40.68948,-73.93528,
"285",40.70669,-73.93578,
"286",40.70451,-73.92588,
"287",40.69587,-73.9096,
"288",40.70365,-73.92711,
"289",40.69728,-73.93066,
"290",40.69304,-73.92079,
"291",40.69911,-73.93713,
"292",40.70318,-73.91462,
"293",40.70065,-73.93862,
"294",40.69616,-73.93201,
"295",40.69471,-73.94184,
"296",40.68852,-73.93588,
"297",40.70585,-73.92698,
"298",40.69987,-73.92552,
"299",40.6821,-73.91632,
"300",40.69574,-73.93111,
"301",40.69895,-73.93249,
"302",40.70404,-73.93496,
"303",40.69026,-73.92701,
"304",40.68058,-73.93856,
"305",40.68286,-73.93055,
"306",40.69686,-73.93042,
"307",40.6982,-73.92852,
"308",40.69707,-73.93914,
"309",40.68211,-73.93876,
"310",40.70012,-73.93062,
"311",40.68576,-73.92211,
"312",40.69727,-73.92373,
"313",40.6847,-73.91624,
"314",40.69924,-73.94057,
"315",40.70071,-73.92468,
"316",40.68548,-73.92039,
"317",40.69666,-73.93248,
"318",40.70113,-73.91119,
"319",40.69158,-73.92115,
"320",40.69205,-73.93144,
"321",40.70124,-73.90941,
"322",40.68176,-73.92883,
"323",40.69545,-73.91967,
"324",40.68208,-73.92994,
"325",40.69465,-73.92675,
"326",40.68898,-73.9412,
"327",40.69368,-73.92295,
"328",40.69436,-73.9253,
"329",40.70552,-73.93842,
"330",40.68174,-73.93444,
"331",40.68562,-73.92375,
"332",40.68073,-73.90915,
"333",40.70476,-73.90874,
"334",40.68975,-73.9346,
"335",40.68172,-73.94095,
"336",40.6979,-73.94126,
"337",40.70247,-73.92061,
"338",40.69893,-73.91549,
"339",40.70586,-73.94135,
"340",40.68753,-73.93656,
"341",40.70026,-73.90721,
"342",40.69195,-73.92068,
"343",40.69502,-73.90645,
"344",40.69349,-73.92211,
"345",40.70791,-73.93396,
"346",40.70706,-73.91437,
"347",40.69642,-73.93361,
"348",40.68885,-73.92354,
"349",40.69601,-73.92236,
"350",40.68476,-73.92975,
"351",40.68837,-73.9256,
"352",40.70399,-73.92813,
"353",40.68643,-73.92208,
"354",40.70228,-73.92824,
"355",40.68258,-73.90472,
"356",40.70204,-73.92109,
"357",40.68274,-73.91856,
"358",40.69576,-73.94082,
"359",40.692,-73.93852,
"360",40.69217,-73.90768,
"361",40.70554,-73.90729,
"362",40.68779,-73.90521,
"363",40.67927,-73.93208,
"364",40.69942,-73.91209,
"365",40.68635,-73.93246,
"366",40.68949,-73.92784,
"367",40.68908,-73.92893,
"368",40.68781,-73.91377,
"369",40.69753,-73.93619,
"370",40.69825,-73.92788,
"371",40.68905,-73.92685,
"372",40.69865,-73.92972,
"373",40.68732,-73.94058,
"374",40.70033,-73.91197,
"375",40.7001,-73.91204,
"376",40.68667,-73.93897,
