fid,LATITUDE,LONGITUDE
"1","40.695921180145","-73.9397148216033"
"2","40.69490322531","-73.9410344194706"
"3","40.7046482026754","-73.9417837480675"
"4","40.7049325704172","-73.9412107649155"
"5","40.7049789208639","-73.9409244765375"
"6","40.7057681180777","-73.9410607073302"
"7","40.7047954141974","-73.9402017373701"
"8","40.7056417082929","-73.9403431088101"
"9","40.7053453275188","-73.9402964545427"
"10","40.7051380216563","-73.9395734459737"
"11","40.7058407725194","-73.9396878513987"
"12","40.6795599907052","-73.922386110538"
"13","40.6792794828616","-73.9226519370621"
"14","40.6793572882876","-73.923519570938"
"15","40.6792566559752","-73.9242440655664"
"16","40.679416554301","-73.924600860392"
"17","40.679624642206","-73.9251271343142"
"18","40.6798945752784","-73.9249159899141"
"19","40.67973760528","-73.9240810146769"
"20","40.6799569254892","-73.9243953529609"
"21","40.6797616613584","-73.9234783837467"
"22","40.6799042661989","-73.923367779959"
"23","40.6803991580203","-73.9234808057709"
"24","40.6806896129118","-73.9234838188451"
"25","40.6804398473978","-73.9244875566815"
"26","40.6807148646665","-73.9242630147398"
"27","40.6803719349151","-73.9250243497344"
"28","40.6805810418655","-73.9253085848728"
"29","40.6810531441447","-73.9254131763763"
"30","40.6813281728031","-73.9252020240791"
"31","40.6811744354263","-73.9243621175893"
"32","40.6813912016028","-73.9246664261095"
"33","40.6812547696557","-73.9237892689946"
"34","40.6815170566577","-73.9235781227771"
"35","40.6813589593749","-73.9227349815808"
"36","40.6815731858718","-73.9230459813832"
"37","40.7016608168859","-73.9401134757455"
"38","40.7024164676814","-73.9394962841749"
"39","40.7018655841232","-73.9384049542186"
"40","40.7023014025959","-73.9375649034291"
"41","40.7031138242907","-73.9381713659789"
"42","40.7034067210297","-73.9387318436453"
"43","40.7035327273825","-73.9397098328251"
"44","40.7034874373095","-73.9404124492249"
"45","40.704207016526","-73.9402353026782"
"46","40.6809970521607","-73.9088542073689"
"47","40.6813914733893","-73.9085538122732"
"48","40.6809020218411","-73.9080586160082"
"49","40.6931523046031","-73.9396512303212"
"50","40.6931958665405","-73.9384938458299"
"51","40.6932949782503","-73.9375049281026"
"52","40.693517505604","-73.9365728456335"
"53","40.6935816789051","-73.9351206235875"
"54","40.6925726330349","-73.9373319436201"
"55","40.694141867839","-73.9370757952751"
"56","40.6943474590022","-73.9351606237726"
